slug,school_number,name,uniform_url
hitotsubashi-hc,401010,一橋,https://www.metro.ed.jp/hitotsubashi-hc/our_school/symbols.html
hibiya-h,401020,日比谷,https://www.metro.ed.jp/hibiya-h/school_life/symbols.html
mita-h,401040,三田,https://www.metro.ed.jp/mita-h/school_life/symbols.html
osaki-h,401210,大崎,https://www.metro.ed.jp/osaki-h/school_life/symbols.html
koyamadai-h,401230,小山台,https://www.metro.ed.jp/koyamadai-h/school_life/symbols.html
yukigaya-h,401240,雪谷,https://www.metro.ed.jp/yukigaya-h/school_life/symbols.html
omori-h,401250,大森,https://www.metro.ed.jp/omori-h/school_life/symbols.html
kamata-h,401290,蒲田,https://www.metro.ed.jp/kamata-h/school_life/symbols.html
tsubasasogo-h,401410,つばさ総合,https://www.metro.ed.jp/tsubasasogo-h/school_life/symbols.html
roppongi-he,401420,六本木,https://www.metro.ed.jp/roppongi-he/our_school/symbols.html
mihara-h,401520,美原,https://www.metro.ed.jp/mihara-h/school_life/symbols.html
otasakuradai-h,401620,大田桜台,https://www.metro.ed.jp/otasakuradai-h/school_life/symbols.html
toyama-h,402010,戸山,https://www.metro.ed.jp/toyama-h/school_life/symbols.html
komaba-h,402030,駒場,https://www.metro.ed.jp/komaba-h/school_life/symbols.html
meguro-h,402040,目黒,https://www.metro.ed.jp/meguro-h/school_life/symbols.html
shinjuku-h,402060,新宿,https://www.metro.ed.jp/shinjuku-h/school_life/symbols.html
matsubara-h,402210,松原,https://www.metro.ed.jp/matsubara-h/school_life/symbols.html
sakuramachi-h,402220,桜町,https://www.metro.ed.jp/sakuramachi-h/school_life/symbols.html
chitosegaoka-h,402250,千歳丘,https://www.metro.ed.jp/chitosegaoka-h/school_life/symbols.html
fukasawa-h,402270,深沢,https://www.metro.ed.jp/fukasawa-h/school_life/symbols.html
setagayaizumi-he,402410,世田谷泉,https://www.metro.ed.jp/setagayaizumi-he/our_school/symbols.html
setagayasogo-h,402420,世田谷総合,https://www.metro.ed.jp/setagayasogo-h/school_life/symbols.html
shinjukuyamabuki-h,402520,新宿山吹,https://www.metro.ed.jp/shinjukuyamabuki-h/school_life/symbols.html
roka-h,402530,芦花,https://www.metro.ed.jp/roka-h/school_life/symbols.html
daiichishogyo-h,402620,第一商業,https://www.metro.ed.jp/daiichishogyo-h/school_life/symbols.html
sogokoka-h,402750,総合工科,https://www.metro.ed.jp/sogokoka-h/school_life/symbols.html
engei-h,402810,園芸,https://www.metro.ed.jp/engei-h/school_life/symbols.html
saginomiya-h,403010,鷺宮,https://www.metro.ed.jp/saginomiya-h/school_life/symbols.html
fuji-s,403020,富士,https://www.metro.ed.jp/fuji-s/school_life/symbols.html
musashigaoka-h,403030,武蔵丘,https://www.metro.ed.jp/musashigaoka-h/school_life/symbols.html
ogikubo-he,403040,荻窪,https://www.metro.ed.jp/ogikubo-he/our_school/symbols.html
nishi-h,403050,西,https://www.metro.ed.jp/nishi-h/school_life/symbols.html
toyotama-h,403060,豊多摩,https://www.metro.ed.jp/toyotama-h/school_life/symbols.html
suginami-h,403070,杉並,https://www.metro.ed.jp/suginami-h/school_life/symbols.html
shakujii-h,403210,石神井,https://www.metro.ed.jp/shakujii-h/school_life/symbols.html
igusa-h,403220,井草,https://www.metro.ed.jp/igusa-h/school_life/symbols.html
oizumi-h,403230,大泉,https://www.metro.ed.jp/oizumi-h/school_life/symbols.html
nerima-h,403240,練馬,https://www.metro.ed.jp/nerima-h/school_life/symbols.html
hikarigaoka-h,403250,光丘,https://www.metro.ed.jp/hikarigaoka-h/school_life/symbols.html
tagara-h,403280,田柄,https://www.metro.ed.jp/tagara-h/school_life/symbols.html
suginamisogo-h,403410,杉並総合,https://www.metro.ed.jp/suginamisogo-h/school_life/symbols.html
minorigaoka-he,403420,稔ヶ丘,https://www.metro.ed.jp/minorigaoka-he/school_life/symbols.html
oizumisakura-h,403510,大泉桜,https://www.metro.ed.jp/oizumisakura-h/school_life/symbols.html
nakanokoka-h,403710,中野工科,https://www.metro.ed.jp/nakanokoka-h/school_life/symbols.html
suginamikoka-h,403720,杉並工科,https://www.metro.ed.jp/suginamikoka-h/school_life/symbols.html
nerimakoka-h,403730,練馬工科,https://www.metro.ed.jp/nerimakoka-h/school_life/symbols.html
nogei-h,403810,農芸,https://www.metro.ed.jp/nogei-h/school_life/symbols.html
takehaya-h,404010,竹早,https://www.metro.ed.jp/takehaya-h/school_life/symbols.html
mukogaoka-h,404020,向丘,https://www.metro.ed.jp/mukogaoka-h/school_life/symbols.html
toshima-h,404040,豊島,https://www.metro.ed.jp/toshima-h/school_life/symbols.html
bunkyo-h,404050,文京,https://www.metro.ed.jp/bunkyo-h/school_life/symbols.html
kitazono-h,404210,北園,https://www.metro.ed.jp/kitazono-h/school_life/symbols.html
itabashi-h,404220,板橋,https://www.metro.ed.jp/itabashi-h/school_life/symbols.html
takashima-h,404260,高島,https://www.metro.ed.jp/takashima-h/school_life/symbols.html
kirigaoka-he,404410,桐ヶ丘,https://www.metro.ed.jp/kirigaoka-he/school_life/symbols.html
asuka-h,404510,飛鳥,https://www.metro.ed.jp/asuka-h/school_life/symbols.html
itabashiyutoku-h,404520,板橋有徳,https://www.metro.ed.jp/itabashiyutoku-h/school_life/symbols.html
chihaya-h,404640,千早,https://www.metro.ed.jp/chihaya-h/school_life/symbols.html
kitatoshimakoka-h,404730,北豊島工科,https://www.metro.ed.jp/kitatoshimakoka-h/school_life/symbols.html
akabanehokuo-h,404910,赤羽北桜,https://www.metro.ed.jp/akabanehokuo-h/school_life/symbols.html
hakuo-h,405040,白鴎,https://www.metro.ed.jp/hakuo-h/school_life/symbols.html
shinobugaoka-h,405050,忍岡,https://www.metro.ed.jp/shinobugaoka-h/school_life/symbols.html
ueno-h,405060,上野,https://www.metro.ed.jp/ueno-h/school_life/symbols.html
takenodai-h,405070,竹台,https://www.metro.ed.jp/takenodai-h/school_life/symbols.html
adachi-h,405210,足立,https://www.metro.ed.jp/adachi-h/school_life/symbols.html
kohoku-h,405220,江北,https://www.metro.ed.jp/kohoku-h/school_life/symbols.html
