学校番号,所在地区市町村,学校名,全日制/学科/大学科,全日制/学科/小学科,全日制/生徒数/計,全日制/生徒数/１学年,全日制/生徒数/２学年,全日制/生徒数/３学年,全日制/学級数/計,全日制/学級数/１学年,全日制/学級数/２学年,全日制/学級数/３学年,教員数,職員数
401010,千代田区,一橋,…,…,…,…,…,…,…,…,…,…,…,…
401020,千代田区,日比谷,普,普通科,965,330,318,317,24,8,8,8,54,5
401040,港区,三田,普,普通科,864,275,283,306,22,7,7,8,52,5
401210,品川区,大崎,普,普通科,820,277,277,266,21,7,7,7,47,5
401220,品川区,八潮,普,普通科,569,186,205,178,18,6,6,6,47,5
401230,品川区,小山台,普,普通科,955,319,320,316,24,8,8,8,56,6
401240,大田区,雪谷,普,普通科,825,280,273,272,21,7,7,7,49,4
401250,大田区,大森,普,普通科,260,89,86,85,14,4,5,5,37,4
401260,大田区,田園調布,普,普通科,692,240,237,215,18,6,6,6,42,5
401290,大田区,蒲田,普,普通科,410,140,132,138,12,4,4,4,40,4
401410,大田区,つばさ総合,総,総合学科,680,230,220,230,18,6,6,6,64,4
401420,港区,六本木,…,…,…,…,…,…,…,…,…,…,…,…
401510,大田区,六郷工科,工,オートモビル工学科（単位制）,56, -,31,25,2, -,1,1,69,5
401510,大田区,六郷工科,工,デザイン工学科（単位制）,57, -,32,25,2, -,1,1, -, -
401510,大田区,六郷工科,工,システム工学科（単位制）,55, -,32,23,2, -,1,1, -, -
401510,大田区,六郷工科,工,プロダクト工学科（単位制）,40, -,28,12,2, -,1,1, -, -
401510,大田区,六郷工科,工,デュアルシステム科（単位制）,19, -,12,7,2, -,1,1, -, -
401510,大田区,六郷工科,工,ものづくり工学科（単位制）,147,147, -, -,5,5, -, -, -, -
401520,大田区,美原,普,普通科（単位制）,545,186,181,178,15,5,5,5,43,5
401610,港区,芝商業,商,ビジネス科,500,177,169,154,15,5,5,5,39,6
401620,大田区,大田桜台,商,ビジネスコミュニケーション科,409,146,151,112,15,5,5,5,41,4
402010,新宿区,戸山,普,普通科,951,324,321,306,24,8,8,8,59,5
402030,目黒区,駒場,普,普通科,903,278,317,308,23,7,8,8,59,5
402030,目黒区,駒場,他,保健体育科,123,42,42,39,3,1,1,1, -, -
402040,目黒区,目黒,普,普通科,702,240,233,229,18,6,6,6,40,4
402060,新宿区,新宿,普,普通科（単位制）,961,320,325,316,24,8,8,8,65,7
402070,渋谷区,青山,普,普通科,838,283,278,277,21,7,7,7,51,4
402080,渋谷区,広尾,普,普通科,628,238,197,193,16,6,5,5,43,4
402210,世田谷区,松原,普,普通科,611,194,186,231,16,5,5,6,38,4
402220,世田谷区,桜町,普,普通科,904,318,293,293,24,8,8,8,54,5
402250,世田谷区,千歳丘,普,普通科,771,279,253,239,21,7,7,7,47,4
402270,世田谷区,深沢,普,普通科,472,176,155,141,15,5,5,5,43,4
402410,世田谷区,世田谷泉,…,…,…,…,…,…,…,…,…,…,…,…
402420,世田谷区,世田谷総合,総,総合学科,678,238,222,218,18,6,6,6,53,4
402520,新宿区,新宿山吹,…,…,…,…,…,…,…,…,…,…,…,…
402530,世田谷区,芦花,普,普通科（単位制）,818,279,273,266,21,7,7,7,51,4
402620,渋谷区,第一商業,商,ビジネス科,547,194,190,163,18,6,6,6,45,4
402750,世田谷区,総合工科,工,機械・自動車科,95,34,30,31,3,1,1,1,53,4
402750,世田谷区,総合工科,工,電気・情報デザイン科,126,42,51,33,6,2,2,2, -, -
402750,世田谷区,総合工科,工,建築・都市工学科,118,49,39,30,6,2,2,2, -, -
402810,世田谷区,園芸,農,園芸科,204,71,70,63,6,2,2,2,47,7
402810,世田谷区,園芸,農,食品科,103,36,34,33,3,1,1,1, -, -
402810,世田谷区,園芸,農,動物科,106,36,36,34,3,1,1,1, -, -
402930,目黒区,国際,他,国際学科,716,237,239,240,18,6,6,6,68,6
402940,新宿区,総合芸術,他,美術科（単位制）,242,82,82,78,6,2,2,2,44,5
402940,新宿区,総合芸術,他,音楽科（単位制）,117,42,42,33,3,1,1,1, -, -
402940,新宿区,総合芸術,他,舞台表現科（単位制）,127,42,42,43,3,1,1,1, -, -
