学校番号,所在地区市町村,学校名,定時制等/大学科,定時制等/小学科,定時制等/生徒数計,定時制等/生徒数/１学年,定時制等/生徒数/２学年,定時制等/生徒数/３学年,定時制等/生徒数/４学年,定時制等/学級数計,定時制等/学級数/１学年,定時制等/学級数/２学年,定時制等/学級数/３学年,定時制等/学級数/４学年,教員数,職員数
401010,千代田区,一橋,普,普通科１部（単位制）,274,87,81,87,19,12,3,3,3,3,65,6
401010,千代田区,一橋,普,普通科２部（単位制）,283,90,80,80,33,12,3,3,3,3, -, -
401010,千代田区,一橋,普,普通科３部（単位制）,141,34,51,47,9,8,2,2,2,2, -, -
401010,千代田区,一橋,通,通信制本科（普通科）,662,202,241,219, -,14,4,5,5, -,17,2
401010,千代田区,一橋,通,通信制併修, -, -, -, -, -, -, -, -, -, -, -, -
401020,千代田区,日比谷,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401040,港区,三田,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401210,品川区,大崎,普,普通科,31,13,11,4,3,4,1,1,1,1,9,1
401220,品川区,八潮,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401230,品川区,小山台,普,普通科,31,6,6,12,7,4,1,1,1,1,9,1
401240,大田区,雪谷,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401250,大田区,大森,普,普通科,23,7,10,1,5,4,1,1,1,1,9, -
401260,大田区,田園調布,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401290,大田区,蒲田,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401410,大田区,つばさ総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401420,港区,六本木,総,総合学科１部,199,56,63,59,21,8,2,2,2,2,56,4
401420,港区,六本木,総,総合学科２部,208,56,63,60,29,8,2,2,2,2, -, -
401420,港区,六本木,総,総合学科３部,206,58,57,54,37,8,2,2,2,2, -, -
401510,大田区,六郷工科,普,普通科（単位制）,29,10,6,7,6,4,1,1,1,1,20,1
401510,大田区,六郷工科,工,生産工学科（単位制）,12,3,3,2,4,4,1,1,1,1, -, -
401510,大田区,六郷工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401520,大田区,美原,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401610,港区,芝商業,…,…,…,…,…,…,…,…,…,…,…,…,…,…
401620,大田区,大田桜台,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402010,新宿区,戸山,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402030,目黒区,駒場,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402040,目黒区,目黒,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402060,新宿区,新宿,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402070,渋谷区,青山,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402080,渋谷区,広尾,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402210,世田谷区,松原,普,普通科,29,6,8,11,4,4,1,1,1,1,9, －
402220,世田谷区,桜町,普,普通科,20,5,8,2,5,4,1,1,1,1,9, －
402250,世田谷区,千歳丘,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402270,世田谷区,深沢,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402410,世田谷区,世田谷泉,総,総合学科１部,200,57,57,60,26,8,2,2,2,2,57,5
402410,世田谷区,世田谷泉,総,総合学科２部,207,57,56,59,35,8,2,2,2,2, -, -
402410,世田谷区,世田谷泉,総,総合学科３部,197,55,56,47,39,8,2,2,2,2, -, -
402420,世田谷区,世田谷総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402520,新宿区,新宿山吹,普,普通科１部（単位制）,110,38,39,25,8,4,1,1,1,1,67,7
402520,新宿区,新宿山吹,普,普通科２部（単位制）,120,37,39,31,13,4,1,1,1,1, -, -
402520,新宿区,新宿山吹,普,普通科３部（単位制）,122,38,38,29,17,4,1,1,1,1, -, -
